,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,DATE
32,203484.0,Kentavious Caldwell-Pope,1610612765.0,DET,1.0,1.0,0.0,37.05,37.05,12725.0,2.41,1.31,1.1,3.88,3.87,3.8,10/27/2015
33,201567.0,Kevin Love,1610612739.0,CLE,1.0,0.0,1.0,34.82,34.82,12778.0,2.42,1.26,1.16,4.17,4.33,4.34,10/27/2015
34,202691.0,Klay Thompson,1610612744.0,GSW,1.0,1.0,0.0,26.43,26.43,10824.0,2.05,1.09,0.96,4.71,5.25,4.27,10/27/2015
35,2594.0,Kyle Korver,1610612737.0,ATL,1.0,0.0,1.0,28.7,28.7,10824.0,2.05,1.06,0.99,4.4,4.98,3.84,10/27/2015
36,203934.0,Lamar Patterson,1610612737.0,ATL,1.0,0.0,1.0,18.3,18.3,6706.0,1.27,0.64,0.63,4.2,4.22,3.62,10/27/2015
37,2544.0,LeBron James,1610612739.0,CLE,1.0,0.0,1.0,36.07,36.07,13200.0,2.5,1.38,1.12,4.2,4.46,3.83,10/27/2015
38,2571.0,Leandro Barbosa,1610612744.0,GSW,1.0,1.0,0.0,20.5,20.5,7656.0,1.45,0.82,0.63,4.34,4.78,3.43,10/27/2015
39,202694.0,Marcus Morris,1610612765.0,DET,1.0,1.0,0.0,37.08,37.08,12936.0,2.45,1.39,1.06,4.08,4.23,3.84,10/27/2015
40,201578.0,Marreese Speights,1610612744.0,GSW,1.0,1.0,0.0,10.7,10.7,3538.0,0.67,0.35,0.32,3.87,5.03,3.0,10/27/2015
41,203521.0,Matthew Dellavedova,1610612739.0,CLE,1.0,0.0,1.0,20.2,20.2,8290.0,1.57,0.81,0.76,4.79,4.94,4.53,10/27/2015
42,203488.0,Mike Muscala,1610612737.0,ATL,1.0,0.0,1.0,7.98,7.98,3326.0,0.63,0.36,0.27,4.48,5.89,4.55,10/27/2015
43,203118.0,Mike Scott,1610612737.0,ATL,1.0,0.0,1.0,5.48,5.48,2112.0,0.4,0.2,0.2,4.4,5.2,3.8,10/27/2015
44,2590.0,Mo Williams,1610612739.0,CLE,1.0,0.0,1.0,37.15,37.15,13411.0,2.54,1.39,1.15,4.04,4.43,3.97,10/27/2015
45,101126.0,Nate Robinson,1610612740.0,NOP,1.0,0.0,1.0,19.05,19.05,7181.0,1.36,0.74,0.62,4.53,4.35,3.97,10/27/2015
46,202703.0,Nikola Mirotic,1610612741.0,CHI,1.0,1.0,0.0,25.23,25.23,9662.0,1.83,0.99,0.84,4.23,4.85,3.71,10/27/2015
47,2200.0,Pau Gasol,1610612741.0,CHI,1.0,1.0,0.0,31.55,31.55,11774.0,2.23,1.22,1.01,4.14,4.72,3.66,10/27/2015
48,200794.0,Paul Millsap,1610612737.0,ATL,1.0,0.0,1.0,36.0,36.0,12461.0,2.36,1.24,1.12,3.97,4.35,3.34,10/27/2015
49,202704.0,Reggie Jackson,1610612765.0,DET,1.0,1.0,0.0,32.12,32.12,11405.0,2.16,1.26,0.9,4.07,4.44,3.7,10/27/2015
50,2210.0,Richard Jefferson,1610612739.0,CLE,1.0,0.0,1.0,16.95,16.95,6389.0,1.21,0.62,0.59,4.26,4.06,4.37,10/27/2015
51,201583.0,Ryan Anderson,1610612740.0,NOP,1.0,0.0,1.0,28.67,28.67,10402.0,1.97,1.03,0.94,4.16,4.08,3.83,10/27/2015
52,2733.0,Shaun Livingston,1610612744.0,GSW,1.0,1.0,0.0,21.33,21.33,8237.0,1.56,0.9,0.66,4.51,5.4,3.61,10/27/2015
53,1626169.0,Stanley Johnson,1610612765.0,DET,1.0,1.0,0.0,24.48,24.48,9610.0,1.82,1.02,0.8,4.35,4.61,4.1,10/27/2015
54,201939.0,Stephen Curry,1610612744.0,GSW,1.0,1.0,0.0,35.62,35.62,14573.0,2.76,1.58,1.18,4.67,5.37,4.07,10/27/2015
55,2581.0,Steve Blake,1610612765.0,DET,1.0,1.0,0.0,15.88,15.88,6230.0,1.18,0.62,0.56,4.47,4.45,4.5,10/27/2015
56,201959.0,Taj Gibson,1610612741.0,CHI,1.0,1.0,0.0,22.1,22.1,7867.0,1.49,0.79,0.7,4.03,4.46,3.7,10/27/2015
57,200757.0,Thabo Sefolosha,1610612737.0,ATL,1.0,0.0,1.0,18.93,18.93,7022.0,1.33,0.7,0.63,4.11,4.6,3.62,10/27/2015
58,201168.0,Tiago Splitter,1610612737.0,ATL,1.0,0.0,1.0,16.3,16.3,5808.0,1.1,0.62,0.48,4.0,4.55,3.54,10/27/2015
59,202389.0,Timofey Mozgov,1610612739.0,CLE,1.0,0.0,1.0,20.9,20.9,8395.0,1.59,0.88,0.71,4.63,4.91,4.24,10/27/2015
60,203503.0,Tony Snell,1610612741.0,CHI,1.0,1.0,0.0,28.8,28.8,10824.0,2.05,1.09,0.96,4.2,4.54,3.96,10/27/2015
61,202684.0,Tristan Thompson,1610612739.0,CLE,1.0,0.0,1.0,24.92,24.92,9768.0,1.85,0.99,0.86,4.52,4.75,4.4,10/27/2015
62,201166.0,Aaron Brooks,1610612741.0,CHI,1.0,1.0,0.0,16.4,16.4,6178.0,1.17,0.63,0.54,4.41,4.48,3.61,10/28/2015
63,203932.0,Aaron Gordon,1610612753.0,ORL,1.0,0.0,1.0,17.02,17.02,7181.0,1.36,0.76,0.6,4.94,5.37,4.5,10/28/2015
64,203940.0,Adreian Payne,1610612750.0,MIN,1.0,1.0,0.0,3.78,3.78,1478.0,0.28,0.16,0.12,4.72,5.25,3.83,10/28/2015
65,2744.0,Al Jefferson,1610612766.0,CHA,1.0,0.0,1.0,21.77,21.77,7550.0,1.43,0.8,0.63,3.82,4.1,3.52,10/28/2015
66,202329.0,Al-Farouq Aminu,1610612757.0,POR,1.0,1.0,0.0,31.13,31.13,12144.0,2.3,1.27,1.03,4.4,5.02,3.79,10/28/2015
